difficulty,sentence
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
A1,Elle a un chat noir.
A1,ElLa a un chat noir.
A1,Nous aimons la pizza.
A1,Nous aimons la pizza.
A1,Nous aimons La pizza.
A1,Elle boit de l'eau.
A1,Il boit de l'eau.
A1,Il boit de l'eau.
A1,La neige est blanche.
A1,La neige est blanche.
A1,La neige est bLanche.
A1,Elle a un chat noir.
